GENE	CCLE_CELL	BF
POLD4	MDAMB453_BREAST	-9.711
POLH	MDAMB453_BREAST	-21.442
POLL	MDAMB453_BREAST	-14.626
POLI	MDAMB453_BREAST	-35.053
POLM	MDAMB453_BREAST	-17.515
POLE	MDAMB453_BREAST	37.676
POLE4	MDAMB453_BREAST	-23.634
POLN	MDAMB453_BREAST	-20.299
POLE2	MDAMB453_BREAST	16.968
POLG	MDAMB453_BREAST	9.422
POLQ	MDAMB453_BREAST	-13.842
POLE3	MDAMB453_BREAST	-18.572
POLG2	MDAMB453_BREAST	14.692
POLA2	MDAMB453_BREAST	1.248
POLB	MDAMB453_BREAST	-30.343
POLD1	MDAMB453_BREAST	32.216
MAD2L2	MDAMB453_BREAST	15.222
REV3L	MDAMB453_BREAST	3.818
POLD2	MDAMB453_BREAST	8.642
POLD3	MDAMB453_BREAST	44.286
MAD2L2	NUGC3_STOMACH	15.738
POLH	NUGC3_STOMACH	-14.232
POLI	NUGC3_STOMACH	-40.48
POLK	NUGC3_STOMACH	-19.379
POLL	NUGC3_STOMACH	-17.105
POLM	NUGC3_STOMACH	-15.592
POLN	NUGC3_STOMACH	-21.856
POLQ	NUGC3_STOMACH	0.106
POLD4	NUGC3_STOMACH	-11.277
POLA2	NUGC3_STOMACH	17.647
POLB	NUGC3_STOMACH	-25.207
POLE	NUGC3_STOMACH	13.734
POLD1	NUGC3_STOMACH	21.643
POLE4	NUGC3_STOMACH	-5.338
POLE2	NUGC3_STOMACH	57.383
POLD2	NUGC3_STOMACH	21.699
POLG	NUGC3_STOMACH	3.303
POLE3	NUGC3_STOMACH	-6.074
POLD3	NUGC3_STOMACH	28.341
POLG2	NUGC3_STOMACH	13.456
REV3L	NUGC3_STOMACH	-1.273
MAD2L2	NCIH2286_LUNG	60.804
POLD4	NCIH2286_LUNG	-18.019
POLE	NCIH2286_LUNG	38.935
POLE2	NCIH2286_LUNG	61.378
POLE3	NCIH2286_LUNG	-10.148
POLE4	NCIH2286_LUNG	-15.561
POLG	NCIH2286_LUNG	3.837
POLG2	NCIH2286_LUNG	8.283
POLK	NCIH2286_LUNG	-25.104
POLH	NCIH2286_LUNG	-17.034
POLL	NCIH2286_LUNG	-19.96
POLI	NCIH2286_LUNG	-32.683
POLM	NCIH2286_LUNG	-12.162
POLN	NCIH2286_LUNG	-15.095
POLA2	NCIH2286_LUNG	21.108
POLQ	NCIH2286_LUNG	-13.207
POLB	NCIH2286_LUNG	-31.988
POLD1	NCIH2286_LUNG	64.041
POLD2	NCIH2286_LUNG	25.639
POLD3	NCIH2286_LUNG	44.977
REV3L	NCIH2286_LUNG	35.394
MAD2L2	ESS1_ENDOMETRIUM	28.001
POLD4	ESS1_ENDOMETRIUM	-14.776
POLE	ESS1_ENDOMETRIUM	40.034
POLE4	ESS1_ENDOMETRIUM	-6.463
POLE2	ESS1_ENDOMETRIUM	65.128
REV3L	ESS1_ENDOMETRIUM	21.526
POLG	ESS1_ENDOMETRIUM	21.56
POLE3	ESS1_ENDOMETRIUM	16.483
POLH	ESS1_ENDOMETRIUM	-2.814
POLG2	ESS1_ENDOMETRIUM	24.435
POLD1	ESS1_ENDOMETRIUM	27.871
POLN	ESS1_ENDOMETRIUM	-24.966
POLQ	ESS1_ENDOMETRIUM	-0.197
POLI	ESS1_ENDOMETRIUM	-41.571
POLD2	ESS1_ENDOMETRIUM	19.71
POLA2	ESS1_ENDOMETRIUM	13.873
POLD3	ESS1_ENDOMETRIUM	45.385
POLB	ESS1_ENDOMETRIUM	-34.072
POLL	ESS1_ENDOMETRIUM	-10.69
POLK	ESS1_ENDOMETRIUM	-14.313
POLM	ESS1_ENDOMETRIUM	-17.992
MAD2L2	IPC298_SKIN	-5.368
POLD4	IPC298_SKIN	-24.073
POLE4	IPC298_SKIN	-11.369
REV3L	IPC298_SKIN	-8.999
POLH	IPC298_SKIN	-12.851
POLN	IPC298_SKIN	-24.504
POLD3	IPC298_SKIN	32.107
POLG	IPC298_SKIN	40.678
POLA2	IPC298_SKIN	17.282
POLQ	IPC298_SKIN	-18.704
POLI	IPC298_SKIN	-22.204
POLE2	IPC298_SKIN	31.494
POLD1	IPC298_SKIN	47.265
POLE	IPC298_SKIN	45.234
POLE3	IPC298_SKIN	-19.84
POLK	IPC298_SKIN	-22.791
POLG2	IPC298_SKIN	12.719
POLD2	IPC298_SKIN	24.773
POLL	IPC298_SKIN	-19.712
POLM	IPC298_SKIN	-18.239
POLB	IPC298_SKIN	-26.493
MAD2L2	TE4_OESOPHAGUS	27.752
POLD4	TE4_OESOPHAGUS	-1.186
POLE	TE4_OESOPHAGUS	37.678
POLE4	TE4_OESOPHAGUS	-15.82
POLH	TE4_OESOPHAGUS	-16.187
POLE2	TE4_OESOPHAGUS	52.342
POLG	TE4_OESOPHAGUS	-11.853
POLI	TE4_OESOPHAGUS	-29.596
POLE3	TE4_OESOPHAGUS	-13.581
POLG2	TE4_OESOPHAGUS	10.468
POLK	TE4_OESOPHAGUS	-19.304
POLL	TE4_OESOPHAGUS	-19.52
POLM	TE4_OESOPHAGUS	-7.183
POLN	TE4_OESOPHAGUS	-27.965
POLQ	TE4_OESOPHAGUS	-12.217
POLA2	TE4_OESOPHAGUS	29.923
POLB	TE4_OESOPHAGUS	-31.366
POLD1	TE4_OESOPHAGUS	39.275
POLD2	TE4_OESOPHAGUS	14.662
POLD3	TE4_OESOPHAGUS	40.615
REV3L	TE4_OESOPHAGUS	1.78
POLD4	NCIH1339_LUNG	-2.856
POLE	NCIH1339_LUNG	34.402
POLE2	NCIH1339_LUNG	77.058
POLE3	NCIH1339_LUNG	3.206
POLE4	NCIH1339_LUNG	7.114
POLG	NCIH1339_LUNG	-0.017
POLG2	NCIH1339_LUNG	8.642
POLH	NCIH1339_LUNG	-22.385
POLI	NCIH1339_LUNG	-35.947
POLK	NCIH1339_LUNG	-21.444
POLL	NCIH1339_LUNG	-13.043
POLM	NCIH1339_LUNG	-13.238
POLN	NCIH1339_LUNG	-37.561
MAD2L2	NCIH1339_LUNG	26.983
POLQ	NCIH1339_LUNG	3.984
POLA2	NCIH1339_LUNG	12.811
POLB	NCIH1339_LUNG	-28.414
POLD1	NCIH1339_LUNG	35.474
POLD2	NCIH1339_LUNG	23.904
POLD3	NCIH1339_LUNG	28.528
REV3L	NCIH1339_LUNG	10.145
POLB	NCIH2172_LUNG	-27.858
POLA2	NCIH2172_LUNG	18.354
POLD1	NCIH2172_LUNG	40.206
POLD2	NCIH2172_LUNG	15.356
POLD3	NCIH2172_LUNG	35.298
POLD4	NCIH2172_LUNG	-25.547
POLE4	NCIH2172_LUNG	-5.812
POLG	NCIH2172_LUNG	7.573
POLG2	NCIH2172_LUNG	17.516
POLE	NCIH2172_LUNG	38.118
POLK	NCIH2172_LUNG	-22.808
POLH	NCIH2172_LUNG	-16.062
POLE2	NCIH2172_LUNG	44.354
POLL	NCIH2172_LUNG	-7.694
POLI	NCIH2172_LUNG	-34.617
POLE3	NCIH2172_LUNG	5.77
POLM	NCIH2172_LUNG	-22.321
POLN	NCIH2172_LUNG	-20.546
MAD2L2	NCIH2172_LUNG	24.382
POLQ	NCIH2172_LUNG	-3.83
REV3L	NCIH2172_LUNG	7.819
POLA2	HT55_LARGE_INTESTINE	33.832
POLB	HT55_LARGE_INTESTINE	-29.77
POLD1	HT55_LARGE_INTESTINE	33.024
POLE3	HT55_LARGE_INTESTINE	6.542
POLM	HT55_LARGE_INTESTINE	-9.542
POLL	HT55_LARGE_INTESTINE	-13.854
POLH	HT55_LARGE_INTESTINE	-12.813
POLI	HT55_LARGE_INTESTINE	-35.041
POLE	HT55_LARGE_INTESTINE	46.16
POLE2	HT55_LARGE_INTESTINE	39.275
POLE4	HT55_LARGE_INTESTINE	-23.703
POLN	HT55_LARGE_INTESTINE	-28.389
POLK	HT55_LARGE_INTESTINE	-18.152
POLD2	HT55_LARGE_INTESTINE	18.6
POLD4	HT55_LARGE_INTESTINE	-20.933
POLG	HT55_LARGE_INTESTINE	-8.399
POLQ	HT55_LARGE_INTESTINE	-4.448
POLD3	HT55_LARGE_INTESTINE	28.931
POLG2	HT55_LARGE_INTESTINE	-10.132
MAD2L2	HT55_LARGE_INTESTINE	12.699
REV3L	HT55_LARGE_INTESTINE	-9.412
POLE	SNU1_STOMACH	45.58
POLE3	SNU1_STOMACH	2.217
POLE2	SNU1_STOMACH	56.488
POLE4	SNU1_STOMACH	-3.787
POLA2	SNU1_STOMACH	21.714
POLD4	SNU1_STOMACH	-11.153
POLG	SNU1_STOMACH	14.387
POLH	SNU1_STOMACH	-18.327
POLB	SNU1_STOMACH	-27.858
POLI	SNU1_STOMACH	-31.491
POLG2	SNU1_STOMACH	5.854
POLD1	SNU1_STOMACH	50.064
POLK	SNU1_STOMACH	-15.511
POLD2	SNU1_STOMACH	28.901
POLL	SNU1_STOMACH	-20.237
POLD3	SNU1_STOMACH	64.041
POLM	SNU1_STOMACH	-23.111
POLN	SNU1_STOMACH	-17.634
MAD2L2	SNU1_STOMACH	13.609
POLQ	SNU1_STOMACH	-5.908
REV3L	SNU1_STOMACH	4.34
POLA2	MDST8_LARGE_INTESTINE	32.305
POLH	MDST8_LARGE_INTESTINE	-22.291
POLB	MDST8_LARGE_INTESTINE	-17.425
POLI	MDST8_LARGE_INTESTINE	-24.108
POLL	MDST8_LARGE_INTESTINE	-18.666
POLK	MDST8_LARGE_INTESTINE	-19.619
POLM	MDST8_LARGE_INTESTINE	-15.524
POLD1	MDST8_LARGE_INTESTINE	35.772
POLD4	MDST8_LARGE_INTESTINE	-15.904
POLN	MDST8_LARGE_INTESTINE	-23.245
POLD2	MDST8_LARGE_INTESTINE	7.125
POLQ	MDST8_LARGE_INTESTINE	-1.597
POLD3	MDST8_LARGE_INTESTINE	32.806
POLE	MDST8_LARGE_INTESTINE	49.205
POLE2	MDST8_LARGE_INTESTINE	67.137
POLE3	MDST8_LARGE_INTESTINE	6.48
POLE4	MDST8_LARGE_INTESTINE	14.826
MAD2L2	MDST8_LARGE_INTESTINE	11.704
POLG	MDST8_LARGE_INTESTINE	-6.026
POLG2	MDST8_LARGE_INTESTINE	5.987
REV3L	MDST8_LARGE_INTESTINE	1.639
POLE4	EFO27_OVARY	1.948
POLG	EFO27_OVARY	4.705
POLG2	EFO27_OVARY	13.389
POLA2	EFO27_OVARY	16.908
POLH	EFO27_OVARY	-13.892
POLB	EFO27_OVARY	-38.594
POLI	EFO27_OVARY	-36.454
POLD1	EFO27_OVARY	42.51
POLK	EFO27_OVARY	-19.668
POLD4	EFO27_OVARY	-19.664
POLD2	EFO27_OVARY	18.726
POLL	EFO27_OVARY	-20.668
POLD3	EFO27_OVARY	42.166
POLM	EFO27_OVARY	-6.067
POLE	EFO27_OVARY	51.918
POLN	EFO27_OVARY	-23.836
POLE2	EFO27_OVARY	26.163
POLQ	EFO27_OVARY	-14.038
POLE3	EFO27_OVARY	10.643
MAD2L2	EFO27_OVARY	12.817
REV3L	EFO27_OVARY	-12.092
MAD2L2	PF382_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	1.12
POLD4	PF382_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	-30.88
POLE	PF382_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	36.902
POLA2	PF382_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	10.932
POLE2	PF382_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	34.635
POLB	PF382_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	-30.116
POLE3	PF382_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	-7.42
POLD1	PF382_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	43.617
POLE4	PF382_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	-7.264
POLD2	PF382_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	26.983
POLG	PF382_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	5.316
POLD3	PF382_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	24.579
POLG2	PF382_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.864
POLH	PF382_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	-19.367
POLI	PF382_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	-35.125
POLK	PF382_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	-23.94
POLL	PF382_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	-17.661
POLM	PF382_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	-16.646
POLN	PF382_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	-15.946
POLQ	PF382_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	-20.956
REV3L	PF382_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	-4.059
POLE	NALM6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	37.366
POLD4	NALM6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	-27.185
POLE2	NALM6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	15.98
POLE3	NALM6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	10.109
POLE4	NALM6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	1.592
POLA2	NALM6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	37.265
POLG	NALM6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	8.731
POLB	NALM6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	-31.908
POLG2	NALM6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	-0.061
POLD1	NALM6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	26.235
POLD2	NALM6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	24.092
POLD3	NALM6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	22.766
MAD2L2	NALM6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	11.343
POLH	NALM6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	-25.845
POLI	NALM6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	-26.826
POLK	NALM6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	-8.767
POLN	NALM6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	-23.309
POLL	NALM6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	-24.311
POLQ	NALM6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	-12.299
POLM	NALM6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	-19.457
REV3L	NALM6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	7.519
POLA2	SKUT1_SOFT_TISSUE	18.533
POLB	SKUT1_SOFT_TISSUE	-30.209
POLD1	SKUT1_SOFT_TISSUE	26.119
MAD2L2	SKUT1_SOFT_TISSUE	46.808
POLD2	SKUT1_SOFT_TISSUE	17.892
POLD3	SKUT1_SOFT_TISSUE	34.206
POLE	SKUT1_SOFT_TISSUE	37.469
POLD4	SKUT1_SOFT_TISSUE	-17.649
POLE2	SKUT1_SOFT_TISSUE	45.385
POLE3	SKUT1_SOFT_TISSUE	-19.474
POLE4	SKUT1_SOFT_TISSUE	-28.557
REV3L	SKUT1_SOFT_TISSUE	26.346
POLG	SKUT1_SOFT_TISSUE	7.202
POLG2	SKUT1_SOFT_TISSUE	21.887
POLH	SKUT1_SOFT_TISSUE	4.615
POLI	SKUT1_SOFT_TISSUE	-28.527
POLK	SKUT1_SOFT_TISSUE	-21.795
POLL	SKUT1_SOFT_TISSUE	1.459
POLM	SKUT1_SOFT_TISSUE	-22.324
POLN	SKUT1_SOFT_TISSUE	-28.067
POLQ	SKUT1_SOFT_TISSUE	-7.665
MAD2L2	HEC1B_ENDOMETRIUM	-0.981
REV3L	HEC1B_ENDOMETRIUM	-2.532
POLD4	HEC1B_ENDOMETRIUM	-19.125
POLE	HEC1B_ENDOMETRIUM	41.951
POLE4	HEC1B_ENDOMETRIUM	-19.593
POLA2	HEC1B_ENDOMETRIUM	20.708
POLE2	HEC1B_ENDOMETRIUM	43.977
POLG	HEC1B_ENDOMETRIUM	-22.944
POLB	HEC1B_ENDOMETRIUM	-31.146
POLE3	HEC1B_ENDOMETRIUM	-21.071
POLG2	HEC1B_ENDOMETRIUM	-7.535
POLD1	HEC1B_ENDOMETRIUM	27.506
POLK	HEC1B_ENDOMETRIUM	-21.367
POLH	HEC1B_ENDOMETRIUM	4.848
POLD2	HEC1B_ENDOMETRIUM	11.682
POLL	HEC1B_ENDOMETRIUM	-13.418
POLI	HEC1B_ENDOMETRIUM	-30.623
POLD3	HEC1B_ENDOMETRIUM	28.288
POLM	HEC1B_ENDOMETRIUM	-26.133
POLN	HEC1B_ENDOMETRIUM	-24.926
POLQ	HEC1B_ENDOMETRIUM	4.223
MAD2L2	RKO_LARGE_INTESTINE	3.134
POLD4	RKO_LARGE_INTESTINE	-21.918
POLE	RKO_LARGE_INTESTINE	29.923
POLE4	RKO_LARGE_INTESTINE	-23.722
POLE2	RKO_LARGE_INTESTINE	30.842
POLG	RKO_LARGE_INTESTINE	46.352
POLE3	RKO_LARGE_INTESTINE	-16.824
POLG2	RKO_LARGE_INTESTINE	30.408
POLD1	RKO_LARGE_INTESTINE	28.509
POLA2	RKO_LARGE_INTESTINE	7.114
POLD2	RKO_LARGE_INTESTINE	10.814
POLB	RKO_LARGE_INTESTINE	-16.834
POLD3	RKO_LARGE_INTESTINE	54.445
POLK	RKO_LARGE_INTESTINE	-17.325
POLH	RKO_LARGE_INTESTINE	-20.156
REV3L	RKO_LARGE_INTESTINE	0.925
POLL	RKO_LARGE_INTESTINE	-8.802
POLI	RKO_LARGE_INTESTINE	-36.819
POLM	RKO_LARGE_INTESTINE	-18.943
POLN	RKO_LARGE_INTESTINE	-20.628
POLQ	RKO_LARGE_INTESTINE	2.792
POLD4	OVK18_OVARY	-23.301
POLE	OVK18_OVARY	36.78
POLE4	OVK18_OVARY	-9.403
MAD2L2	OVK18_OVARY	15.311
POLE2	OVK18_OVARY	28.524
POLG	OVK18_OVARY	61.427
POLE3	OVK18_OVARY	-1.961
POLG2	OVK18_OVARY	21.14
POLH	OVK18_OVARY	-13.943
POLI	OVK18_OVARY	-34.381
POLK	OVK18_OVARY	-23.482
POLL	OVK18_OVARY	-2.926
POLM	OVK18_OVARY	-16.896
POLD1	OVK18_OVARY	35.657
POLN	OVK18_OVARY	-22.909
POLA2	OVK18_OVARY	20.369
POLD2	OVK18_OVARY	9.963
POLQ	OVK18_OVARY	-3.14
POLB	OVK18_OVARY	-35.947
POLD3	OVK18_OVARY	61.975
REV3L	OVK18_OVARY	24.925
POLH	SUPT1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	-12.577
POLI	SUPT1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	-28.759
POLK	SUPT1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	-23.288
POLL	SUPT1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	-17.672
POLM	SUPT1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	-25.946
POLN	SUPT1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	-19.771
MAD2L2	SUPT1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.083
POLQ	SUPT1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	-18.052
POLA2	SUPT1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	16.496
POLB	SUPT1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	-34.133
POLD1	SUPT1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	48.044
POLD2	SUPT1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	16.22
POLD3	SUPT1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	32.553
POLD4	SUPT1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	-24.375
POLE	SUPT1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	46.16
POLE2	SUPT1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	51.918
POLE3	SUPT1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	-15.638
POLE4	SUPT1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	-16.517
POLG	SUPT1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	-14.761
POLG2	SUPT1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	-9.373
REV3L	SUPT1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	-16.508
POLH	LS180_LARGE_INTESTINE	-2.527
POLI	LS180_LARGE_INTESTINE	-26.913
POLK	LS180_LARGE_INTESTINE	-19.168
POLL	LS180_LARGE_INTESTINE	-19.224
POLM	LS180_LARGE_INTESTINE	-7.702
POLN	LS180_LARGE_INTESTINE	-18.731
POLQ	LS180_LARGE_INTESTINE	-12.418
POLD4	LS180_LARGE_INTESTINE	-18.221
POLE	LS180_LARGE_INTESTINE	35.532
POLD1	LS180_LARGE_INTESTINE	34.625
POLE4	LS180_LARGE_INTESTINE	-21.926
POLA2	LS180_LARGE_INTESTINE	29.37
POLE2	LS180_LARGE_INTESTINE	71.158
POLD2	LS180_LARGE_INTESTINE	22.111
POLG	LS180_LARGE_INTESTINE	1.766
POLB	LS180_LARGE_INTESTINE	-23.529
POLE3	LS180_LARGE_INTESTINE	-21.229
POLD3	LS180_LARGE_INTESTINE	49.033
POLG2	LS180_LARGE_INTESTINE	24.527
MAD2L2	LS180_LARGE_INTESTINE	22.728
REV3L	LS180_LARGE_INTESTINE	34.446
POLK	SW48_LARGE_INTESTINE	-19.497
POLL	SW48_LARGE_INTESTINE	-14.223
POLM	SW48_LARGE_INTESTINE	-2.781
POLN	SW48_LARGE_INTESTINE	-16.619
POLH	SW48_LARGE_INTESTINE	-6.937
POLQ	SW48_LARGE_INTESTINE	-4.148
POLI	SW48_LARGE_INTESTINE	-27.848
POLE	SW48_LARGE_INTESTINE	35.176
POLD1	SW48_LARGE_INTESTINE	51.261
POLD4	SW48_LARGE_INTESTINE	-4.31
POLA2	SW48_LARGE_INTESTINE	-1.018
POLE2	SW48_LARGE_INTESTINE	43.332
POLD2	SW48_LARGE_INTESTINE	-3.443
POLB	SW48_LARGE_INTESTINE	-20.796
POLE3	SW48_LARGE_INTESTINE	-17.595
POLD3	SW48_LARGE_INTESTINE	32.806
POLE4	SW48_LARGE_INTESTINE	-13.789
POLG	SW48_LARGE_INTESTINE	-7.423
POLG2	SW48_LARGE_INTESTINE	6.688
REV3L	SW48_LARGE_INTESTINE	-7.775
MAD2L2	SW48_LARGE_INTESTINE	27.913
POLH	REH_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	-26.666
POLI	REH_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	-38.299
POLK	REH_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	-18.264
POLL	REH_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	-20.175
POLM	REH_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	-13.488
POLN	REH_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	-20.75
POLQ	REH_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	1.285
POLD1	REH_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	61.378
POLA2	REH_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	22.898
POLD2	REH_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	7.866
POLB	REH_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	-34.033
POLD3	REH_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	40.939
POLD4	REH_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	-20.092
MAD2L2	REH_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	13.674
POLE	REH_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	45.234
POLE2	REH_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	18.551
POLE3	REH_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	-4.077
POLE4	REH_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	-5.663
POLG	REH_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	5.399
POLG2	REH_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	1.505
REV3L	REH_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	14.918
MAD2L2	COLO792_SKIN	9.379
POLD4	COLO792_SKIN	-10.994
POLE	COLO792_SKIN	25.094
REV3L	COLO792_SKIN	17.168
POLE2	COLO792_SKIN	30.565
POLE3	COLO792_SKIN	-21.321
POLE4	COLO792_SKIN	-27.488
POLG	COLO792_SKIN	20.846
POLG2	COLO792_SKIN	21.497
POLA2	COLO792_SKIN	2.394
POLH	COLO792_SKIN	-24.829
POLI	COLO792_SKIN	-39.643
POLB	COLO792_SKIN	-24.105
POLK	COLO792_SKIN	-19.454
POLD1	COLO792_SKIN	30.101
POLN	COLO792_SKIN	-18.958
POLD2	COLO792_SKIN	19.158
POLL	COLO792_SKIN	-17.219
POLD3	COLO792_SKIN	33.155
POLQ	COLO792_SKIN	-4.797
POLM	COLO792_SKIN	-21.704
MAD2L2	KM12_LARGE_INTESTINE	11.472
REV3L	KM12_LARGE_INTESTINE	15.241
POLK	KM12_LARGE_INTESTINE	-17.28
POLH	KM12_LARGE_INTESTINE	-15.728
POLL	KM12_LARGE_INTESTINE	-11.696
POLI	KM12_LARGE_INTESTINE	-34.106
POLM	KM12_LARGE_INTESTINE	-21.463
POLN	KM12_LARGE_INTESTINE	-24.926
POLQ	KM12_LARGE_INTESTINE	-3.005
POLE4	KM12_LARGE_INTESTINE	-22.034
POLD1	KM12_LARGE_INTESTINE	45.83
POLD4	KM12_LARGE_INTESTINE	-11.574
POLD2	KM12_LARGE_INTESTINE	9.753
POLD3	KM12_LARGE_INTESTINE	43.031
POLA2	KM12_LARGE_INTESTINE	28.161
POLG	KM12_LARGE_INTESTINE	24.988
POLE2	KM12_LARGE_INTESTINE	69.128
POLB	KM12_LARGE_INTESTINE	-30.393
POLG2	KM12_LARGE_INTESTINE	29.421
POLE	KM12_LARGE_INTESTINE	36.331
POLE3	KM12_LARGE_INTESTINE	-10.602
POLK	639V_URINARY_TRACT	-14.941
POLH	639V_URINARY_TRACT	-15.917
POLL	639V_URINARY_TRACT	-8.487
POLI	639V_URINARY_TRACT	-32.323
POLM	639V_URINARY_TRACT	-12.025
POLN	639V_URINARY_TRACT	-20.177
MAD2L2	639V_URINARY_TRACT	18.737
POLQ	639V_URINARY_TRACT	-0.941
POLE	639V_URINARY_TRACT	38.575
POLD4	639V_URINARY_TRACT	-19.91
POLE2	639V_URINARY_TRACT	32.961
POLE3	639V_URINARY_TRACT	-10.364
POLE4	639V_URINARY_TRACT	-5.161
POLG	639V_URINARY_TRACT	22.42
POLG2	639V_URINARY_TRACT	22.77
POLA2	639V_URINARY_TRACT	11.107
POLB	639V_URINARY_TRACT	-31.443
POLD1	639V_URINARY_TRACT	56.092
POLD2	639V_URINARY_TRACT	25.599
POLD3	639V_URINARY_TRACT	31.659
REV3L	639V_URINARY_TRACT	8.701
MAD2L2	SNGM_ENDOMETRIUM	6.572
POLE	SNGM_ENDOMETRIUM	32.744
POLK	SNGM_ENDOMETRIUM	-24.31
POLD4	SNGM_ENDOMETRIUM	-16.171
POLH	SNGM_ENDOMETRIUM	-8.585
POLE2	SNGM_ENDOMETRIUM	52.394
POLL	SNGM_ENDOMETRIUM	-16.637
POLI	SNGM_ENDOMETRIUM	-30.012
POLE3	SNGM_ENDOMETRIUM	-15.388
POLM	SNGM_ENDOMETRIUM	-20.451
POLE4	SNGM_ENDOMETRIUM	-22.692
