GENE	FancG_HCT116_T1	FancG_HCT116_T2	FancL_HCT116_T1	FancL_HCT116_T2	WT_HCT116_T1	WT_HCT116_T2
ACRC	-5.936	-31.443	-0.266	-9.453	-13.220999999999998	-22.252
ACRV1	-1.4780000000000002	-6.672000000000001	-4.752	-9.704	-11.456	-23.369
ACSBG1	-2.479	-9.894	-10.444	-15.493	-17.315	-28.886
ACSBG2	8.276	-5.04	-2.5839999999999996	-13.302999999999999	2.48	-14.263
ACSF2	-4.427	-8.133	-3.466	-4.922	-10.009	-13.360999999999999
ACSF3	-8.363999999999999	-7.596	-13.18	-19.828	-18.111	-16.665
ACSL1	2.235	-15.597000000000001	0.07	-18.094	-9.908	-34.069
ACSL3	3.242	-11.198	2.31	-5.404	-6.085	-20.340999999999998
ACSL4	-3.315	-11.655	-15.651	-16.93	-17.984	-27.096
ACSL5	3.428	-4.202	-2.025	-10.302	-4.288	-17.357
ACSL6	-8.672	-12.550999999999998	-16.465999999999998	-23.564	-20.791999999999998	-28.004
ACSM1	-3.6910000000000003	-10.812000000000001	-8.51	-10.352	-11.429	-15.515
ACSM2A	-2.677	-7.376	-13.412	-12.842	-12.844000000000001	-11.985999999999999
ACSM2B	-18.5	-22.256	-26.528000000000002	-32.571	-27.898000000000003	-22.159000000000002
ACSM3	1.3259999999999998	-15.357000000000001	5.117	-13.331	3.511	-17.903
ACSM4	-5.917999999999999	-10.610999999999999	-10.134	-4.257	-15.645999999999999	-16.347
ACSM5	-10.005	-11.935	-20.083	-20.137999999999998	-29.765	-24.028000000000002
ACSS1	-12.535	-20.1	-13.56	-13.304	-23.199	-15.7
ACSS2	-6.608	-15.31	-14.743	-20.864	-27.31	-20.494
ACSS3	-7.631	-14.311	-14.82	-21.239	-21.421999999999997	-24.284000000000002
ACTA1	-8.424	-20.634	-9.946	-4.618	-5.007	-22.698
ACTA2	-3.8369999999999997	-7.926	-13.595	-21.320999999999998	-8.074	-17.504
ACTB	-3.222	-8.559	-10.753	-20.62	-10.734000000000002	-10.626
ACTBL2	-2.358	-9.251	-0.20199999999999999	-8.929	-19.988	-35.872
ACTC1	-10.137	-13.488	-13.767999999999999	-8.648	-17.498	-19.339000000000002
ACTG1	1.4240000000000002	6.557	-0.121	17.663	-2.307	7.468
ACTG2	-7.8020000000000005	-15.057	-12.843	-22.315	-18.480999999999998	-27.298000000000002
ACTL10	-2.806	7.36	5.419	17.62	-15.248	-9.675
ACTL6A	7.042000000000001	7.973	23.031999999999996	22.6	19.570999999999998	27.984
ACTL6B	-10.607000000000001	-14.11	-17.51	-14.998	-24.448	-18.899
ACTL7A	-4.47	-0.914	-4.899	-3.8360000000000003	-17.583	-15.359000000000002
ACTL7B	-6.581	-10.324000000000002	-18.895	-21.899	-16.358	-15.759
ACTL8	0.071	2.6660000000000004	-19.534000000000002	-25.539	-17.727999999999998	-27.906
ACTL9	-11.379000000000001	-5.531000000000001	-12.53	-4.343	-22.669	-9.957
ACTN1	-3.117	-8.504	-0.8029999999999999	-0.555	-18.378	-14.375
ACTN2	0.297	-9.196	-10.501	-26.516	-1.365	-23.083000000000002
ACTN4	-0.616	-2.1	-10.487	-17.206	-10.124	-7.308
ACTR10	1.148	8.667	4.888999999999999	11.79	29.933000000000003	54.667
ACTR1A	6.763999999999999	10.151	6.474	16.092	10.855	24.122
ACTR1B	-5.577999999999999	1.195	-7.855	-4.365	-19.177	-6.325
ACTR2	13.157	26.423000000000002	10.088	23.662	40.305	66.01899999999999
ACTR3	0.295	8.124	7.992999999999999	8.172	4.698	18.464000000000002
ACTR3B	-4.119	-2.387	-2.239	-17.335	-4.9430000000000005	3.3360000000000003
ACTR3C	-1.48	-9.224	-2.5980000000000003	-10.03	-9.437999999999999	-14.9
ACTR5	-4.402	-3.009	-16.217	-15.332	-15.885	-11.963
ACTR6	-1.225	1.983	-0.1	4.363	4.3389999999999995	15.454
ACTR8	0.355	0.899	0.9890000000000001	-1.109	0.866	8.423
ACTRT1	-10.17	-15.667	-16.417	-20.944000000000003	-20.367	-28.029
ACTRT2	-12.882	-6.1770000000000005	-25.098000000000003	-26.976999999999997	-23.158	-15.852
